Product Name,Product Features,Price (₹),Rating,Reviews,Product Link,Image URL,Description
CASSIEY,N/A,379,4.1 out of 5 stars,452,N/A,https://m.media-amazon.com/images/I/81E316bV5XL._AC_UL320_.jpg,N/A
Liberty,N/A,449,4.5 out of 5 stars,14,N/A,https://m.media-amazon.com/images/I/41ei2M4i8OL._AC_UL320_.jpg,N/A
ORTHO JOY,N/A,348,4.0 out of 5 stars,"4,865",N/A,https://m.media-amazon.com/images/I/51QAX+1jbTL._AC_UL320_.jpg,N/A
Woodland,N/A,"1,721",3.7 out of 5 stars,330,N/A,https://m.media-amazon.com/images/I/71wFObNj33L._AC_UL320_.jpg,N/A
HEALTH FIT,N/A,719,4.0 out of 5 stars,"3,302",N/A,https://m.media-amazon.com/images/I/71RmBK33xGL._AC_UL320_.jpg,N/A
DiCLOWiN,N/A,299,4.2 out of 5 stars,22,N/A,https://m.media-amazon.com/images/I/71aOs9+cIKL._AC_UL320_.jpg,N/A
Puma,N/A,934,4.0 out of 5 stars,77,N/A,https://m.media-amazon.com/images/I/51vVDamp4HL._AC_UL320_.jpg,N/A
HEALTH FIT,N/A,735,3.7 out of 5 stars,432,N/A,https://m.media-amazon.com/images/I/51BRKF-UlZL._AC_UL320_.jpg,N/A
Puma,N/A,"1,139",3.8 out of 5 stars,181,N/A,https://m.media-amazon.com/images/I/41HnvxEs2dL._AC_UL320_.jpg,N/A
Bata,N/A,"1,105",3.8 out of 5 stars,704,N/A,https://m.media-amazon.com/images/I/51-Hxif1r7L._AC_UL320_.jpg,N/A
Skechers,N/A,"1,243",3.4 out of 5 stars,28,N/A,https://m.media-amazon.com/images/I/41JN0QaLFrL._AC_UL320_.jpg,N/A
TRASE,N/A,649,4.2 out of 5 stars,73,N/A,https://m.media-amazon.com/images/I/51Im3JeiaqL._AC_UL320_.jpg,N/A
Bata,N/A,"1,105",3.7 out of 5 stars,"1,455",N/A,https://m.media-amazon.com/images/I/51Ff9YzbNWL._AC_UL320_.jpg,N/A
Bata,N/A,433,4.0 out of 5 stars,624,N/A,https://m.media-amazon.com/images/I/51ySFAnOrBL._AC_UL320_.jpg,N/A
Bata,N/A,697,4.0 out of 5 stars,"1,414",N/A,https://m.media-amazon.com/images/I/51RmSDrAEGL._AC_UL320_.jpg,N/A
FLITE,N/A,379,4.2 out of 5 stars,"1,020",N/A,https://m.media-amazon.com/images/I/51vNlbVVmjL._AC_UL320_.jpg,N/A
Bata,N/A,458,4.2 out of 5 stars,551,N/A,https://m.media-amazon.com/images/I/516LwhS1ZNL._AC_UL320_.jpg,N/A
Bata,N/A,354,3.9 out of 5 stars,237,N/A,https://m.media-amazon.com/images/I/51G2DeNz46L._AC_UL320_.jpg,N/A
Bata,N/A,420,3.8 out of 5 stars,685,N/A,https://m.media-amazon.com/images/I/51iRTPgQJXL._AC_UL320_.jpg,N/A
U.S. POLO ASSN.,N/A,"1,256",3.2 out of 5 stars,9,N/A,https://m.media-amazon.com/images/I/716-VT19yHL._AC_UL320_.jpg,N/A
SPARX,N/A,309,4.0 out of 5 stars,969,N/A,https://m.media-amazon.com/images/I/612jGzOO4cL._AC_UL320_.jpg,N/A
Puma,N/A,"1,009",3.8 out of 5 stars,103,N/A,https://m.media-amazon.com/images/I/51pD2SAacOL._AC_UL320_.jpg,N/A
adidas,N/A,787,3.4 out of 5 stars,57,N/A,https://m.media-amazon.com/images/I/81bl81g2ZiL._AC_UL320_.jpg,N/A
Bata,N/A,339,4.2 out of 5 stars,333,N/A,https://m.media-amazon.com/images/I/51vL4DFsVDL._AC_UL320_.jpg,N/A
HEALTH FIT,N/A,999,3.8 out of 5 stars,120,N/A,https://m.media-amazon.com/images/I/71t4CMpNwbL._AC_UL320_.jpg,N/A
HEALTH FIT,N/A,998,3.9 out of 5 stars,189,N/A,https://m.media-amazon.com/images/I/41r71VkKbaL._AC_UL320_.jpg,N/A
Bata,N/A,460,3.9 out of 5 stars,401,N/A,https://m.media-amazon.com/images/I/71hL82vldTS._AC_UL320_.jpg,N/A
Bata,N/A,597,4.1 out of 5 stars,570,N/A,https://m.media-amazon.com/images/I/51qR-RJPqbL._AC_UL320_.jpg,N/A
Panihari,N/A,498,4.2 out of 5 stars,194,N/A,https://m.media-amazon.com/images/I/51ymyPu08ML._AC_UL320_.jpg,N/A
Ortho + Rest,N/A,267,4.0 out of 5 stars,"5,077",N/A,https://m.media-amazon.com/images/I/71vWPG3B9VL._AC_UL320_.jpg,N/A
YOHO,N/A,636,4.5 out of 5 stars,6,N/A,https://m.media-amazon.com/images/I/710z-ZRZgrL._AC_UL320_.jpg,N/A
Bata,N/A,599,4.0 out of 5 stars,384,N/A,https://m.media-amazon.com/images/I/51S6JMnm7ZL._AC_UL320_.jpg,N/A
Bata,N/A,349,3.8 out of 5 stars,"1,394",N/A,https://m.media-amazon.com/images/I/71N2VqEJwuL._AC_UL320_.jpg,N/A
Ortho + Rest,N/A,398,4.1 out of 5 stars,479,N/A,https://m.media-amazon.com/images/I/61HKWBa1YpL._AC_UL320_.jpg,N/A
YOHO,N/A,543,3.9 out of 5 stars,26,N/A,https://m.media-amazon.com/images/I/61IPpD55WsL._AC_UL320_.jpg,N/A
Ortho + Rest,N/A,398,4.0 out of 5 stars,"7,882",N/A,https://m.media-amazon.com/images/I/616vsRJTuFL._AC_UL320_.jpg,N/A
Bata,N/A,521,4.0 out of 5 stars,137,N/A,https://m.media-amazon.com/images/I/5109HqLjb8L._AC_UL320_.jpg,N/A
SILENCIO,N/A,499,3.9 out of 5 stars,58,N/A,https://m.media-amazon.com/images/I/71wz6d-zYbL._AC_UL320_.jpg,N/A
