Product Name,Price (₹),Rating,Reviews,Product Link,Image URL,Description
"OGX Argan Oil of Morocco Extra Penetrating Oil for Renewing Plus Dry and Coarse Hair, 100ml",945,4.3 out of 5 stars,"33,941",N/A,https://m.media-amazon.com/images/I/71IwfsCdCOL._AC_UL320_.jpg,N/A
"Vatika Enriched Coconut Hair Oil , 450 ml - Clinically Tested to Reduce 50% Hairfall in 4 Weeks",220,4.4 out of 5 stars,"2,900",N/A,https://m.media-amazon.com/images/I/712UWHP5qPL._AC_UL320_.jpg,N/A
Himalaya Baby Hair Oil 200 ml(1 Count),170,4.4 out of 5 stars,"11,918",N/A,https://m.media-amazon.com/images/I/718S91g48AL._AC_UL320_.jpg,N/A
Parachute Advansed Onion Hair Oil for Hair Growth and Hair Fall Control with Natural Coconut Oil & Vitamin E - 200ml,399,4.0 out of 5 stars,"11,320",N/A,https://m.media-amazon.com/images/I/51y44eHrcGL._AC_UL320_.jpg,N/A
Bajaj 100% Pure Coconut Oil 900ml | Made with Premium Grade 1 Quality Coconuts,341,4.3 out of 5 stars,"16,597",N/A,https://m.media-amazon.com/images/I/51eQKNP6s6L._AC_UL320_.jpg,N/A
"AYURVEDASHREE Amla Hair Oil, 200ml, With Bhringraj, Brahmi, Tulsi, Almond, Argan, Moringa & Clove Oils",319,4.1 out of 5 stars,193,N/A,https://m.media-amazon.com/images/I/81XRoiI-MHL._AC_UL320_.jpg,N/A
"Himalaya Herbals Anti Hair Fall Hair Oil, Bhringaraja & Amla 200ml",221,4.0 out of 5 stars,"9,637",N/A,https://m.media-amazon.com/images/I/614KVP4IirL._AC_UL320_.jpg,N/A
Bajaj 100% Pure Coconut Oil 600ml Wide Mouth Jar | Made with Premium Grade 1 Quality Coconuts.,190,4.2 out of 5 stars,"1,964",N/A,https://m.media-amazon.com/images/I/513h2rA-aWL._AC_UL320_.jpg,N/A
"Indulekha Bringha, Ayurvedic Hair Oil, 50ml, for Hair Fall Control, with Amla & Coconut Oil, with Comb Applicator",173,4.1 out of 5 stars,"12,943",N/A,https://m.media-amazon.com/images/I/614K49ZlYKL._AC_UL320_.jpg,N/A
Cool Hair Massage Oil | Only real natural ingredients | Chemical Free | refreshing relaxation from stress,299,5.0 out of 5 stars,8,N/A,https://m.media-amazon.com/images/I/51iqcyXYVdL._AC_UL320_.jpg,N/A
"Parachute Advansed Jasmine Coconut Hair Oil, 400 ml with Free 90 ml pack",225,4.3 out of 5 stars,"10,139",N/A,https://m.media-amazon.com/images/I/61wTa994LOL._AC_UL320_.jpg,N/A
MARIYAS HERBAL HAIR CARE OIL Mariyas Herbal Handmade Natural Hair Care Oil 200Ml,480,3.9 out of 5 stars,169,N/A,https://m.media-amazon.com/images/I/41xbFy6AEaL._AC_UL320_.jpg,N/A
Max Care Virgin Coconut Oil (Cold Pressed) 250ML,220,4.5 out of 5 stars,"38,484",N/A,https://m.media-amazon.com/images/I/61V48SnUwBS._AC_UL320_.jpg,N/A
Pilgrim Spanish Rosemary & Biotin HairGrowth Oil to Control Hair Fall & Strengthens Hair 100ml | Rosemary essential oil for hairgrowth | Reduces Hairfall | Strengthens Hair I For Women and Men,261,4.1 out of 5 stars,"1,064",N/A,https://m.media-amazon.com/images/I/51BeQdcRl2L._AC_UL320_.jpg,N/A
"Navratna Extra Thanda Cool Oil | Unique combination of 9 Ayurvedic Herbs | Relieves Headache, Body ache, Tiredness, Sleeplessness & Tension| Improves Scalp Health | Relaxing & Rejuvenating cooling effect | 300ml",179,4.4 out of 5 stars,552,N/A,https://m.media-amazon.com/images/I/5103mtjQVcL._AC_UL320_.jpg,N/A
"Khadi Natural Ayurvedic Bhringraj Hair Oil, 210ml",220,3.9 out of 5 stars,"3,808",N/A,https://m.media-amazon.com/images/I/61VY2bVRpeS._AC_UL320_.jpg,N/A
"Parachute Advansed Aloe Vera Enriched Coconut Hair Oil, 150 ml",87,4.3 out of 5 stars,"1,310",N/A,https://m.media-amazon.com/images/I/61MLNs-Q35L._AC_UL320_.jpg,N/A
"Sage Apothecary Rosemary, Tea Tree Onion Hair Oil Natural & Pure Helps to Control Dandruff & Hair-fall suitable for men & Women 100ML",315,4.2 out of 5 stars,382,N/A,https://m.media-amazon.com/images/I/61HXD6jeIVL._AC_UL320_.jpg,N/A
PLIX - THE - PLANT FIX Rosemary Hair Growth Advanced Hair Oil | With Rosemary & Bhringraj Extract l Reduces Hair Fall 100ml,349,4.3 out of 5 stars,149,N/A,https://m.media-amazon.com/images/I/61dMnG+XL2L._AC_UL320_.jpg,N/A
"Khadi Natural Ayurvedic 18 Herbs Hair Oil | Repairs Dry Scalp, Boosts Hair Health | Promotes Healthy Hair Growth | Paraben, Mineral Oil Free | Suitable for All Hair Types | 210ml",263,4.1 out of 5 stars,620,N/A,https://m.media-amazon.com/images/I/71PpU6iGLLL._AC_UL320_.jpg,N/A
"Brillare Onion Hair Oil Shots with Bakuchiol & Coconut Hair Oil for Hair Fall Control, Reduces hair fall, 100% Natural Hair Oil, (6ml *8 Vials)",689,4.0 out of 5 stars,"1,218",N/A,https://m.media-amazon.com/images/I/61MSyQAXIKL._AC_UL320_.jpg,N/A
